url,title,image_url,description,ingredient,step,match_ingredient
https://icook.tw/recipes/97563,蔓越莓杏仁牛軋糖,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97563/large_22cb35c9b1e18342.jpg,年節快到了，大家紛紛開始準備過年的東西，牛軋糖更是不會缺席！自己製作簡單又安心，還可以有各種變化，一起來玩吧！,無鹽奶油|棉花糖|奶粉|堅果|蔓越莓乾|,1.在不沾鍋內放入無鹽奶油和棉花糖|2.用小火慢慢融化到80%的棉花糖融化左右|3.接著分次倒入奶粉拌勻(不要一次全倒下去，不容易攪散)|4.再加入事先烤過(大約5分鐘)的杏仁粒和蔓越莓乾拌勻，最後會變成一團牛軋糖|5.在桌上鋪上烘培紙，將牛軋糖團放上去，再鋪上一張烘培紙，用桿麵棍桿平，然後塑型(用手壓平也可以，蠻好操作的)|6.等牛軋糖涼點後，就可以切成一口大小享用啦|7.用烘培紙包起來送人也很棒^^|,奶油|糖|堅果|優格|
https://icook.tw/recipes/97735,絲絲入扣~在家做鼎泰豐招牌小菜,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97735/large_3076775b1434f07b.jpg,去鼎泰豐必點的招牌小菜，大家一口接一口，馬上就見底。在家簡單做，想吃多少就吃多少。,豆乾|海帶絲|冬粉|豆芽菜|醬油膏|蒜末|胡椒粉|烏醋|香油|,1.豆芽菜摘去頭尾後泡水備用。豆乾先片做3層再切細絲。海帶絲切斷與豆乾絲等長。|2.冬粉泡水後，以剪刀剪至適當長度。|3.海帶絲、豆乾絲、豆芽菜、冬粉入滾水燙熟後瀝乾備用。（滾水中加入1小匙鹽）|4.調醬汁：取一深鍋，加入香油、蒜末、醬油膏、烏醋、胡椒粉拌勻。|5.將所有食材加入步驟4拌勻即可。|,油|蒜|胡椒|醋|油|優格|
https://icook.tw/recipes/97692,吉拿棒(Churros),https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97692/large_672aeb76a1d9b1c2.jpg,看電影必備的吉拿棒，趁熱沾裹上肉桂糖或巧克力醬～酥脆好吃！,植物油|砂糖|肉桂粉|無鹽奶油|水|砂糖|鹽|中筋麵粉|全蛋（打散）|,1.將無鹽奶油、水、砂糖和鹽放入鍋中，用中火煮滾後離火|2.篩入中筋麵粉，用木匙拌成一團|3.將步驟2移到鋼盆內，加入蛋液拌勻|4.將步驟3裝入有星口擠花嘴的擠花袋內|5.在烘焙紙上擠出長條麵糊（麵糊的長度依自家炸鍋的大小而定）|6.將炸油加熱至170℃，放入步驟5的麵糊連同烘焙紙。用夾子或筷子使麵糊和烘焙紙分離，再夾出烘焙紙|7.炸2-3分鐘至兩面金黃，撈起並瀝乾油分，再放到紙巾上吸油|8.砂糖和肉桂粉混勻後，將步驟7沾裹上一層肉桂糖即可|,油|糖|奶油|糖|鹽|麵粉|蛋|優格|
https://icook.tw/recipes/97994,超簡單*泰式檸檬魚-雲端冰箱鮮食家,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97994/large_78f382d05c8f7c29.jpg,"去泰國餐廳必點的檸檬魚作法超簡單,酸甜的醬汁讓人忍不住一口接一口,自己做省錢又吃的安心~粉絲團https://www.facebook.com/suger...",【鮮主張】多利魚排或鯛魚..等|檸檬|蒜頭|辣椒|香菜|魚露|水|糖|,"1.備料|2.水滾後放入魚以大火蒸6分鐘|3.]蒜頭.辣椒.香菜切末備用.<span class=""group_1"">醬汁</span>調勻.檸檬擠汁|4.6分鐘後將魚取出,湯汁倒掉.淋上<span class=""group_1"">醬汁</span>及蒜末.辣椒末,再次放入鍋中大火蒸1~2分鐘|5.時間到拿出淋上檸檬汁.灑上香菜末即可|6.這次使用的多利魚排是在雲端冰箱-鮮食家買的,下班後沒時間採買食材,透過網路訂貨,新鮮到府真便利!!|",檸檬|蒜|辣椒|香菜|糖|優格|
https://icook.tw/recipes/97940,蜜汁叉燒肉,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97940/large_393ee425e0f6acc8.jpg,甜甜的叉燒肉很配飯，自己做方便又健康！,豬三層肉或梅花肉|蒜末|蜜汁烤肉醬|米酒|水|蜂蜜|,"1.豬肉洗淨用紙巾擦乾後，用<span class=""group_1"">醃料</span>醃漬2~3小時。中間將豬肉翻面，以全面醃入味。|2.烤盤舖放烘焙紙，肉放鐵網架，送入已預熱２００度Ｃ的烤箱烤２０分鐘。|3.時間到取出烤盤，將肉翻面並塗抹一些<span class=""group_1"">醃料</span>後，再送進烤箱烤１５分鐘。|4.筷子能輕易插入即肉熟了，稍微放涼後切片即可食用。|",蒜|蜂蜜|優格|
https://icook.tw/recipes/97835,乳酪米餅,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97835/large_b746f20d93265af1.jpg,利用平時的剩飯做成孩子都愛的乳酪米餅，有點餓又不到用餐時間當孩子的點心，健康、營養，媽媽最安心^^,白飯|乳酪絲|鹽|辣椒粉|洋香菜粉|麵粉|全蛋|,1.將所有材料放在一起、拌勻|2.烤箱預熱170度；將1.放入圓形烤模~~|3.用湯匙稍壓緊實|4.烤約15分鐘上色後翻面再烤約5分鐘，讓二面都呈現金黃色，但勿烤過頭變硬。|5.沒有烤箱用平底鍋煎也可以，完成後可以加番茄醬或甜辣醬食用，也可以做成米漢堡，越嚼越香^^|6.※假如飯放久了有點硬，我看過日本節目，媽媽們會先用清水洗一洗，讓米飯回復濕潤度。|,飯|鹽|辣椒|香菜|麵粉|蛋|優格|
https://icook.tw/recipes/97423,零失誤輕鬆家常滷肉_高效率豪華版,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97423/large_84ca47f11f31a765.jpg,家常菜餐桌上不可或缺的就是滷肉，既然都要花一次功夫，乾脆滷個過癮，不只滷五花肉，還要滷蛋滷雞腿，份量滿滿夠吃個兩三天，而且隔餐越滷越入味喔！忙碌的媽媽們千...,豬五花|雞腿(翅腿)|雞蛋|薄鹽醬油|五香滷包|米酒|青蒜|,1.電鍋裏鋪一張濕的廚房紙巾，放入四顆雞蛋，跳起來後再悶個10-20分鐘即為電鍋版水煮蛋(備用)|2.熱油鍋，放入雞腿與五花肉，煎出微微金黃色後移至滷鍋內，加入(去殼)水煮蛋、薄鹽醬油、米酒、水以及滷包，大火滾開後轉中小火繼續滷30-40分鐘|3.起鍋上菜前放進切片青蒜，稍微攪拌一下就完成了|,蛋|油|蒜|優格|
https://icook.tw/recipes/96382,香酥炸豆腐『春風三層超厚手家用紙巾』,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/96382/large_d926178ba12c836f.jpg,好吃的炸豆腐必須要香要酥，可是家庭主婦需顧及家人的健康又不能攝取過量的油脂，讓食物少油其實一點也不難，春風三層超厚手家用紙巾首創的紙張有交叉曲線壓紋，導流...,春風三層超厚手家用紙巾|雞蛋豆腐|雞蛋|麵粉|麵包粉|,1.食材大集合。|2.將雞蛋豆腐切成塊狀。|3.先沾麵粉。|4.沾蛋液。|5.沾麵包粉。|6.鍋中放入適量的油，油溫用筷子測試，將筷子插入油中有冒小泡泡即可放入豆腐油炸，沾了麵包粉的食材都較易焦黑所以油溫勿過高。|7.取一容器鋪上『春風三層超厚手家用紙巾』，放上炸好的豆腐將多餘的油吸走，以免食用過多油造成身體的負擔。|8.完成擺盤，可以沾醬油或辣椒醬食用，外酥內軟讓人一口接一口唷~|9.春風超厚手三層紙巾，有交叉曲線壓紋，導流超吸收，巧思設計大小隨意撕一點也不浪費。|10.油炸完的鍋子都超油膩又不好清洗，這時先使用『春風三層超厚手家用紙巾』擦拭後再清洗，不但能減少清潔劑使用又非常容易洗淨。|11.『春風三層超厚手家用紙巾』特殊的吸水層設計提升吸水、吸油力，最適合用來清潔廚房爐台油污，吸力強完全不留一滴油。|12.『春風三層超厚手家用紙巾』HACCP食品級認證，安心接觸生熟食，適用時機：(1)盛放油炸食品，炸物吸油，安心健康解油膩 (2)鍋內、盤邊輕鬆抹去油漬(3)清潔爐具、流理台(4)吸除食物多餘水分，下鍋不油爆(5)擦拭餐具、器皿。|,蛋|蛋|麵粉|麵|優格|
https://icook.tw/recipes/97771,蜜汁魚排~無油2步驟 -雲端冰箱鮮食家,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97771/large_b83c083900d62e26.jpg,"蜜汁魚排只要先調好醬,2個步驟就完成了!甜甜的醬汁好下飯,讓不愛吃魚的人也喜歡上這道料理!歡迎來尋找幸福滋味粉絲團https://www.facebook...",【鮮主張】多利魚排或鯛魚|白胡椒|米酒|白芝麻(可省略)|醬油|味醂|糖|水|,"1.這次使用的多利魚排是在雲端冰箱-鮮食家買的,下班後沒時間採買食材,透過網路訂貨,新鮮到府真便利!!|2.備料|3.魚洗淨後擦乾,灑上米酒及白胡椒粉稍醃|4.*調味料可依食材份量依比例做調整*|5.取一鍋將[醬汁]倒入魚放入,蓋鍋蓋以中小火煮到魚肉凝固定型,在煮的同時稍微搖晃一下鍋子防止魚肉沾黏|6.魚肉凝固定型後輕輕翻面,煮的同時也要稍微搖晃一下鍋子防止魚肉沾鍋(可蓋鍋蓋加速收汁),煮到醬汁濃稠時即可關火.盛盤後灑少許白芝麻享用~|",胡椒|油|糖|優格|
https://icook.tw/recipes/97695,【增強抵抗力】5分鐘搞定→蒜頭蛤蜊雞湯,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97695/large_8e8d20be2a6b7ffc.jpg,蒜頭含豐富的維他命A、B、C及礦物質，特別是維他命B6及錳…大蒜說是窮人在吃的人蔘，根據醫學證實，大蒜的營養價值還高過於人蔘呢!! 全文連結http://...,大雞腿|蒜頭|薑片|蛤蜊|米酒|鹽巴|,1.備料前，先將這雞腿肉洗淨，然後再煮一鍋水汆燙一下去去雞肉的雜質|2.蛤蜊請先在煮食前就泡水吐沙|3.接著也可以一併將薑片及蒜頭倒入。接著蓋鍋悶煮。|4.以中小火燜煮個四、五十分鐘後…|5.下蛤蜊前，請將火侯調整成中大火再倒入蛤蜊。|6.接著滴入十數滴的米酒一起煮滾。|7.所以在下鹽巴的時侯，請邊試喝邊下，避免過鹹了。|8.品了幾口湯頭，好鮮甜、清爽，沒有油膩感，好喝的不得了呢~|,蒜|薑|鹽|優格|
https://icook.tw/recipes/97984,蒜蓉奶油蝦仁『雲端冰箱鮮食家』,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97984/large_72a782096d28cc09.jpg,秉持『懶人』本色，最愛簡單食材、簡單作法的食譜。蒜蓉奶油蝦仁是西式作法，卻意外地與白飯成為麻吉，蒜香融合蝦汁再結合奶油香，淋在白飯上，讓白飯的味道變得不簡...,蝦仁|蒜蓉|無鹽奶油|鹽|黑胡椒|義大利香料|,1.食材大集合。|2.蝦仁背部劃一刀，去掉沙腸。|3.大蒜切成蒜蓉。|4.平底鍋融化奶油，放入蒜蓉炒香。|5.放入蝦仁。|6.蝦仁變色後，放入鹽、黑胡椒及義大利香料，香料可更換自己喜歡的味道，如羅勒葉...等。|7.蝦仁完全熟後就可起鍋裝盤嚕！還可準備一些檸檬片，食用前淋上更增加風味~~|,蝦|蒜|奶油|鹽|胡椒|優格|
https://icook.tw/recipes/97406,家常蕃茄炒蛋~不勾芡不加醬【穀盛壽喜燒】,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97406/large_e77e7dac24d38074.jpg,每一個家庭都有屬於自己蕃茄炒蛋的味道~我們家偏好在冬季用黑柿熟透的蕃茄加少的醬油提出蕃茄的酸味~就單純的蕃茄炒蛋的味道~mayli chen的簡單煮藝ht...,蕃茄|雞蛋|蒜苗|壽喜燒醬|鰹魚粉|,"1.食材(蕃茄{要用熟透的}的量隨意~沒有一定的量~盛產的時候我會加到 4~5顆~湯汁完全用蕃茄煮出來~)|2.蛋打散~蕃茄燙過去皮切塊~蒜苗斜切分蒜白和蒜綠 (冬天盛產的蒜多多利用~用蔥也無妨~)|3.熱鍋把蛋煎至成塊即撈起~|4.原鍋爆香蒜白~,加入蕃茄~拌炒一下~加入一碗水~蓋鍋蓋煮至蕃茄軟~湯成黃色~|5.穀盛「壽喜燒」道地日本風味原汁料理醬，天然健康、 不含味素、防腐劑及人工色素~調味的好幫手 !加入一大匙的壽喜燒醬~和一小匙的鰹魚粉~再拌炒一下~收一下湯汁~|6.熄火加入炒過的蛋拌勻~即可起鍋~|7.加上蒜綠就可以上桌囉~壽喜燒醬鹹會帶出蕃茄的酸~和蛋融和的美味~試一試才知道喔~|",蛋|蒜|優格|
https://icook.tw/recipes/97832,薑燒豬肉,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97832/large_fcab0b28d086787c.jpg,家人相聚的晚餐時間，來上一份撫慰人心的家常菜，便可洗滌大夥一天的疲勞；愛麗兒今天介紹的「薑燒豬肉」，暖暖的薑搭配上豬肉片，一份樸實簡單的好滋味便可成為我們...,梅花豬肉片|醬油|水|薑泥|醬油|糖|米酒|,1.將豬肉片用醃料醃約20分鐘。|2.起油鍋，將醃好的豬肉片加入炒至六分熟時轉小火。|3.將剩下的醬油跟水加入步驟二，小火慢煮至漿汁收乾就好了喔！|,豬肉|油|薑|油|糖|優格|
https://icook.tw/recipes/97709,金平蘿蔔皮,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/97709/large_3ce5f973a4adc46c.jpg,脆脆又帶點微辣的口感.好吃又下飯的一道小菜～,大條蘿蔔的皮|辣椒|麻油|醬油|砂糖|酒|,1.將蘿蔔去皮切成細絲.|2.鍋中放入麻油一大匙後.將蘿蔔皮炒香後.再將調味料倒入.拌炒到湯汁收乾即可.|3.先將蘿蔔切成同等寬度之後.再用小刀將蘿蔔像削蘋果皮一樣.稍為厚一點點.所以這樣整個長度也都會相同.|,辣椒|油|油|糖|優格|
https://icook.tw/recipes/95590,奶奶的羅宋湯,https://dbjdsnch130xu.cloudfront.net/uploads/recipe/cover/95590/large_dcd943fcdfdc484e.jpg,酸酸甜甜、鮮滑爽口的羅宋湯，可以隨意加入喜歡的蔬菜或菇類，加上大量牛肉，營養豐富，香氣十足。,牛腩肉|洋蔥|新鮮牛番茄|水|番茄罐頭|紅蘿蔔 切丁|馬鈴薯 切丁|芹菜 切丁|高麗菜 切丁|番茄泥|鹽|黑胡椒|,1.牛肉整條過滾水燙過，拿起放涼切適當大小 (約3公分大小的丁)|2.炒香洋蔥丁，炒到軟、透明狀，再加入牛肉炒一下，待香味出來，再放入切丁的番茄和水，與整罐的番茄，水滾後轉中小火滾25分鐘。|3.加入紅蘿蔔、馬鈴薯、及芹菜丁，煮軟即可|4.最後加入高麗菜丁，番茄泥約一湯匙，加入鹽及黑胡椒調味即可。|,洋蔥|番茄|番茄|馬鈴薯|芹菜|高麗菜|番茄|鹽|胡椒|優格|
